Ticker,Index,Announced,Trade Date,Action
MBC-W,Russell 1000,2022-12-12,2022-12-14,Add
MBC-W,SP500,2022-12-12,2022-12-14,Add
SAFE_x,Russell 2000,2022-12-05,2022-12-07,Delete
RXDX,MSCI SC,2022-12-09,2022-12-13,Upweight
TGIW,Russell 2000,2022-12-06,2022-12-08,Add
ISEE,Russell 2000,2022-12-01,2022-12-05,Upweight
SWCH,MSCI SC,2022-12-01,2022-12-05,Delete
ISEE,MSCI SC,2022-12-01,2022-12-05,Upweight
SAFE_x,MSCI SC,2022-12-01,2022-12-07,Delete
AKUS,MSCI SC,2022-11-30,2022-12-02,Delete
SWCH,Russell 1000,2022-11-30,2022-12-05,Delete
SAFE_x,Russell 2000,2022-11-25,2022-11-29,Add
FBC,SP600,2022-11-28,2022-11-30,Delete
FBC,Russell 2000,2022-11-25,2022-11-30,Delete
AERI,Russell 2000,2022-11-16,2022-11-18,Delete
ZEN,MSCI Std,2022-11-18,2022-11-22,Delete
AERI,MSCI SC,2022-11-15,2022-11-17,Delete
ECOM,MSCI SC,2022-11-10,2022-11-14,Delete
ECOM,Russell 2000,2022-11-10,2022-11-14,Delete
CYBE,Russell 2000,2022-11-01,2022-11-03,Delete
STON,Russell 2000,2022-11-01,2022-11-03,Delete
ABC,Russell 1000,2022-11-08,2022-11-10,Upweight
OABI_z,MSCI SC,2022-10-28,2022-11-02,Add
TWTR,SP500,2022-10-27,2022-10-31,Delete
PZN,Russell 2000,2022-10-26,2022-10-28,Delete
TWTR,MSCI Std,2022-10-27,2022-10-31,Delete
Y,SP400,2022-10-17,2022-10-19,Delete
MN,Russell 2000,2022-10-18,2022-10-20,Delete
Y,MSCI Std,2022-10-17,2022-10-19,Delete
AVLR,Russell 1000,2022-10-14,2022-10-18,Delete
Y,Russell 1000,2022-10-14,2022-10-18,Delete
PING,MSCI SC,2022-10-14,2022-10-18,Delete
AVLR,MSCI Std,2022-10-12,2022-10-14,Delete
CCXI,MSCI SC,2022-10-14,2022-10-18,Delete
CVET,SP600,2022-10-13,2022-10-17,Delete
DICE,MSCI SC,2022-10-13,2022-10-17,Upweight
NLSN,Russell 1000,2022-10-05,2022-10-11,Delete
NLSN,SP500,2022-10-06,2022-10-11,Delete
CNVY,Russell 2000,2022-09-30,2022-10-06,Delete
GBL,Russell 2000,2022-10-04,2022-10-06,Delete
TMX,MSCI SC,2022-10-04,2022-10-06,Delete
BRG,Russell 2000,2022-10-03,2022-10-06,Delete
BHM-w,Russell 2000,2022-10-03,2022-10-05,Add
BRG,MSCI SC,2022-10-03,2022-10-05,Delete
CHNG,MSCI SC,2022-10-03,2022-10-05,Delete
GBT,MSCI SC,2022-10-03,2022-10-05,Delete
CBTX,MSCI SC,2022-09-28,2022-09-30,Upweight
HNGR,MSCI SC,2022-09-28,2022-09-30,Delete
ABTX,MSCI SC,2022-09-28,2022-09-30,Delete
HNGR,Russell 2000,2022-09-27,2022-09-30,Delete
ABTX,Russell 2000,2022-09-26,2022-09-30,Delete
DRE,Russell 1000,2022-09-26,2022-09-30,Delete
HNGR,SP600,2022-09-27,2022-09-30,Delete
ABTX,SP600,2022-09-23,2022-09-30,Delete
CBTX,Russell 2000,2022-09-26,2022-09-30,Upweight
CBTX,SP600,2022-09-23,2022-09-30,Add
DRE,MSCI Std,2022-09-26,2022-09-28,Delete
CTXS,SP500,2022-09-23,2022-09-30,Delete
DRE,SP500,2022-09-23,2022-09-30,Delete
CTXS,Russell 1000,2022-09-26,2022-09-29,Delete
GCP,SP600,2022-09-23,2022-09-27,Delete
GCP,MSCI SC,2022-09-23,2022-09-27,Delete
CTXS,MSCI Std,2022-09-27,2022-09-29,Delete
GCP,Russell 2000,2022-09-22,2022-09-26,Delete
PFHC,Russell 2000,2022-09-06,2022-09-16,Add
MANT,SP600,2022-09-12,2022-09-14,Delete
PEAR,Russell 2000,2022-09-06,2022-09-16,Add
MANT,MSCI SC,2022-09-12,2022-09-14,Delete
CTT,Russell 2000,2022-09-09,2022-09-14,Delete
CTT,MSCI SC,2022-09-09,2022-09-13,Delete
NLOK,Russell 1000,2022-09-06,2022-09-09,Upweight
MNDT,MSCI SC,2022-09-09,2022-09-13,Delete
NLOK,MSCI Std,2022-09-06,2022-09-09,Upweight
POLY,SP600,2022-08-29,2022-08-31,Delete
APE,Russell 1000,2022-08-17,2022-08-23,Delete
AVID,SP600,2022-08-29,2022-08-31,Add
APE,MSCI Std,2022-08-17,2022-08-22,Add
APE,Russell 1000,2022-08-17,2022-08-19,Add
CDR,Russell 2000,2022-08-16,2022-08-19,Delete
SAIL,MSCI SC,2022-08-15,2022-08-17,Delete
SAIL,SP400,2022-08-12,2022-08-16,Delete
TPTX,MSCI SC,2022-08-16,2022-08-18,Delete
ACC,MSCI SC,2022-08-05,2022-08-09,Delete
CINC,MSCI SC,2022-08-11,2022-08-15,Upweight
ACC,SP400,2022-08-04,2022-08-09,Delete
ACC,Russell 1000,2022-08-04,2022-08-09,Delete
MTOR,SP600,2022-08-01,2022-08-03,Delete
MTOR,MSCI SC,2022-08-01,2022-08-03,Delete
NPTN,Russell 2000,2022-07-29,2022-08-02,Delete
NPTN,MSCI SC,2022-08-01,2022-08-03,Delete
WBT,MSCI SC,2022-07-26,2022-07-28,Delete
WBT,Russell 2000,2022-07-22,2022-07-28,Delete
SAFM,SP400,2022-07-22,2022-07-26,Delete
SAFM,MSCI SC,2022-07-22,2022-07-26,Delete
NTUS,SP600,2022-07-21,2022-07-25,Delete
NTUS,MSCI SC,2022-07-21,2022-07-25,Delete
HTA,Russell 1000,2022-07-18,2022-07-21,Upweight
HTA,MSCI SC,2022-07-18,2022-07-20,MSCI SC to Std
VG,Russell 2000,2022-07-18,2022-07-20,Delete
HTA,MSCI Std,2022-07-18,2022-07-20,MSCI SC to Std
VG,MSCI SC,2022-07-18,2022-07-20,Delete
VG,Russell 2000,2022-07-15,2022-07-20,Delete
VG,SP600,2022-07-18,2022-07-20,Delete
HTA,SP400,2022-07-13,2022-07-20,Add
PSB,MSCI SC,2022-07-15,2022-07-19,Delete
PSB,Russell 2000,2022-07-15,2022-07-19,Delete
PSB,SP400,2022-07-13,2022-07-19,Delete
CCMP,SP400,2022-06-28,2022-07-06,Delete
GTYH,Russell 2000,2022-07-01,2022-07-06,Delete
CCMP,MSCI SC,2022-06-30,2022-07-05,Delete
CDK,MSCI SC,2022-07-05,2022-07-07,Delete
CCMP,Russell 2000,2022-06-30,2022-07-05,Delete
SWM,Russell 2000,2022-06-29,2022-07-01,Upweight
CDK,SP400,2022-06-28,2022-07-05,Delete
NP,Russell 2000,2022-06-29,2022-07-01,Delete
IIVI,SP400,2022-06-28,2022-07-01,Upweight
IIVI,MSCI SC,2022-06-29,2022-07-01,Upweight
NP,SP600,2022-06-28,2022-07-01,Delete
SWM,MSCI SC,2022-06-29,2022-07-01,Upweight
NP,MSCI SC,2022-06-29,2022-07-01,Delete
SWM,SP600,2022-06-28,2022-07-01,Upweight
LYLT,SP600,2022-06-28,2022-07-01,Delete
OAS,MSCI SC,2022-06-28,2022-07-01,Upweight
WLL,Russell 2000,2022-06-28,2022-06-30,Delete
OAS,Russell 2000,2022-06-28,2022-06-30,Upweight
